col_id	uuid	name	sex	det	fam	ord	rank
JPL_A144	TSZ-JPL-d6008c35-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c33-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c39-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b325-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b327-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b328-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6006546-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6006545-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6006544-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6006548-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c31-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c30-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c37-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A145	TSZ-JPL-d6059207-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A145	TSZ-JPL-d6059209-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A145	TSZ-JPL-d605920a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A145	TSZ-JPL-d6059204-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A145	TSZ-JPL-d6059205-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d60543f4-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d60543f3-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d6056adf-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d60543f5-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d6056ade-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A146	TSZ-JPL-d60543f6-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A147	TSZ-JPL-d6056ae4-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A147	TSZ-JPL-d6056ae6-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A147	TSZ-JPL-d6056ae7-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A147	TSZ-JPL-d6056ae5-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f610-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f612-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf67-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051cfb-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051d02-e3a2-11e9-8e02-03ce3011d93e	empty					other
